YEAR,HOUSING TYPE,NUMBER OF UNITS
1970,Edmonton Single,902
1970,Edmonton Multiple,4084
1970,CMA Single,1920
1970,CMA Multiple,4410
1971,Edmonton Single,1670
1971,Edmonton Multiple,7781
1971,CMA Single,3154
1971,CMA Multiple,8132
1972,Edmonton Single,1356
1972,Edmonton Multiple,5408
1972,CMA Single,3955
1972,CMA Multiple,5545
1973,Edmonton Single,2047
1973,Edmonton Multiple,2675
1973,CMA Single,4643
1973,CMA Multiple,2741
1974,Edmonton Single,2009
1974,Edmonton Multiple,1758
1974,CMA Single,3486
1974,CMA Multiple,1876
1975,Edmonton Single,3436
1975,Edmonton Multiple,3511
1975,CMA Single,4974
1975,CMA Multiple,3673
1976,Edmonton Single,3286
1976,Edmonton Multiple,6973
1976,CMA Single,5278
1976,CMA Multiple,7092
1977,Edmonton Single,2725
1977,Edmonton Multiple,7926
1977,CMA Single,3955
1977,CMA Multiple,8251
1978,Edmonton Single,4430
1978,Edmonton Multiple,10238
1978,CMA Single,6202
1978,CMA Multiple,10863
1979,Edmonton Single,3602
1979,Edmonton Multiple,6080
1979,CMA Single,5278
1979,CMA Multiple,7020
1980,Edmonton Single,2655
1980,Edmonton Multiple,5791
1980,CMA Single,3674
1980,CMA Multiple,6293
1981,Edmonton Single,3594
1981,Edmonton Multiple,6923
1981,CMA Single,4491
1981,CMA Multiple,7508
1982,Edmonton Single,1683
1982,Edmonton Multiple,7428
1982,CMA Single,2204
1982,CMA Multiple,7534
1983,Edmonton Single,2877
1983,Edmonton Multiple,2244
1983,CMA Single,3761
1983,CMA Multiple,2692
1984,Edmonton Single,1722
1984,Edmonton Multiple,155
1984,CMA Single,2197
1984,CMA Multiple,187
1985,Edmonton Single,1868
1985,Edmonton Multiple,102
1985,CMA Single,2424
1985,CMA Multiple,104
1986,Edmonton Single,1710
1986,Edmonton Multiple,200
1986,CMA Single,2355
1986,CMA Multiple,206
1987,Edmonton Single,2057
1987,Edmonton Multiple,309
1987,CMA Single,3265
1987,CMA Multiple,343
1988,Edmonton Single,2105
1988,Edmonton Multiple,597
1988,CMA Single,3469
1988,CMA Multiple,664
1989,Edmonton Single,2173
1989,Edmonton Multiple,731
1989,CMA Single,3931
1989,CMA Multiple,886
1990,Edmonton Single,2495
1990,Edmonton Multiple,937
1990,CMA Single,4759
1990,CMA Multiple,1162
1991,Edmonton Single,1564
1991,Edmonton Multiple,988
1991,CMA Single,3016
1991,CMA Multiple,1269
1992,Edmonton Single,2346
1992,Edmonton Multiple,1541
1992,CMA Single,4683
1992,CMA Multiple,2081
1993,Edmonton Single,2148
1993,Edmonton Multiple,2017
1993,CMA Single,4202
1993,CMA Multiple,2518
1994,Edmonton Single,1690
1994,Edmonton Multiple,1461
1994,CMA Single,3225
1994,CMA Multiple,1781
1995,Edmonton Single,1130
1995,Edmonton Multiple,763
1995,CMA Single,2159
1995,CMA Multiple,923
1996,Edmonton Single,1421
1996,Edmonton Multiple,514
1996,CMA Single,2944
1996,CMA Multiple,690
1997,Edmonton Single,1945
1997,Edmonton Multiple,1070
1997,CMA Single,3685
1997,CMA Multiple,1277
1998,Edmonton Single,2032
1998,Edmonton Multiple,1559
1998,CMA Single,4080
1998,CMA Multiple,1867
1999,Edmonton Single,2141
1999,Edmonton Multiple,1791
1999,CMA Single,4075
1999,CMA Multiple,2580
2000,Edmonton Single,2137
2000,Edmonton Multiple,1628
2000,CMA Single,4072
2000,CMA Multiple,2156
2001,Edmonton Single,2815
2001,Edmonton Multiple,1996
2001,CMA Single,4959
2001,CMA Multiple,2896
2002,Edmonton Single,4158
2002,Edmonton Multiple,4664
2002,CMA Single,6860
2002,CMA Multiple,5721
2003,Edmonton Single,3857
2003,Edmonton Multiple,5099
2003,CMA Single,6391
2003,CMA Multiple,5989
2004,Edmonton Single,4030
2004,Edmonton Multiple,4129
2004,CMA Single,6614
2004,CMA Multiple,4874
2005,Edmonton Single,5023
2005,Edmonton Multiple,4411
2005,CMA Single,7623
2005,CMA Multiple,5671
2006,Edmonton Single,5363
2006,Edmonton Multiple,4453
2006,CMA Single,9064
2006,CMA Multiple,5906
2007,Edmonton Single,3763
2007,Edmonton Multiple,5131
2007,CMA Single,7682
2007,CMA Multiple,7206
2008,Edmonton Single,1220
2008,Edmonton Multiple,2759
2008,CMA Single,2606
2008,CMA Multiple,4009
2009,Edmonton Single,2206
2009,Edmonton Multiple,1705
2009,CMA Single,3897
2009,CMA Multiple,2420
2010,Edmonton Single,3417
2010,Edmonton Multiple,2963
2010,CMA Single,6062
2010,CMA Multiple,3897
2011,Edmonton Single,3080
2011,Edmonton Multiple,3055
2011,CMA Single,5017
2011,CMA Multiple,4315
2012,Edmonton Single,3517
2012,Edmonton Multiple,5971
2012,CMA Single,5658
2012,CMA Multiple,7179
2013,Edmonton Single,3981
2013,Edmonton Multiple,6653
2013,CMA Single,5970
2013,CMA Multiple,8719
